Reference Number,Topic Match Score,Title,Year,Date,Authors,Abstract,Journal,Citation Count,Citation Velocity,DOI,Link,External IDs,Is Open Access,Open Access Link,Semantic Scholar ID,Relevance Summary
"11","99.8","Visual symbolic mechanisms: Emergent symbol processing in vision language models","2025","2025-06-18","Rim Assouel, Declan Campbell, Taylor Webb","To accurately process a visual scene, observers must bind features together to represent individual objects. This capacity is necessary, for instance, to distinguish an image containing a red square and a blue circle from an image containing a blue square and a red circle. Recent work has found that language models solve this'binding problem'via a set of symbol-like, content-independent indices, but it is unclear whether similar mechanisms are employed by vision language models (VLMs). This question is especially relevant, given the persistent failures of VLMs on tasks that require binding. Here, we identify a set of emergent symbolic mechanisms that support binding in VLMs via a content-independent, spatial indexing scheme. Moreover, we find that binding errors can be traced directly to failures in these mechanisms. Taken together, these results shed light on the mechanisms that support symbol-like processing in VLMs, and suggest possible avenues for addressing the persistent binding failures exhibited by these models.","ArXiv","0","0","10.48550/arXiv.2506.15871","https://doi.org/10.48550/arXiv.2506.15871","","true","{'url': 'https://arxiv.org/pdf/2506.15871.pdf', 'status': 'GOLD'}","e30d7844cd89c62535ed73ca8b95c0055be5bc96","- Demonstrates emergent symbol‑like spatial indexing mechanisms that mediate visual feature binding in VLMs.
- Identifies Position‑ID and Feature‑Retrieval attention heads, maps representational progression, and uses representational analyses plus causal‑mediation and targeted interventions on head outputs.
- Relevant for referential/internal mediation of reference (spatial/object identity) with necessity/sufficiency interventions, but does not test truth‑conditional propositional content, cross‑modal grounding beyond spatial indices, or agentic/interactive grounding."
"12","99.6","What Do VLMs NOTICE? A Mechanistic Interpretability Pipeline for Noise-free Text-Image Corruption and Evaluation","2024","2024-06-24","Michal Golovanevsky, William Rudman, Vedant Palit, Ritambhara Singh, Carsten Eickhoff","Vision-Language Models (VLMs) have gained community-spanning prominence due to their ability to integrate visual and textual inputs to perform complex tasks. Despite their success, the internal decision-making processes of these models remain opaque, posing challenges in high-stakes applications. To address this, we introduce NOTICE, the first Noise-free Text-Image Corruption and Evaluation pipeline for mechanistic interpretability in VLMs. NOTICE incorporates a Semantic Minimal Pairs (SMP) framework for image corruption and Symmetric Token Replacement (STR) for text. This approach enables semantically meaningful causal mediation analysis for both modalities, providing a robust method for analyzing multimodal integration within models like BLIP. Our experiments on the SVO-Probes, MIT-States, and Facial Expression Recognition datasets reveal crucial insights into VLM decision-making, identifying the significant role of middle-layer cross-attention heads. Further, we uncover a set of ``universal cross-attention heads'' that consistently contribute across tasks and modalities, each performing distinct functions such as implicit image segmentation, object inhibition, and outlier inhibition. This work paves the way for more transparent and interpretable multimodal systems.","ArXiv","10","7.4","10.48550/arXiv.2406.16320","https://doi.org/10.48550/arXiv.2406.16320","","true","{'url': 'https://arxiv.org/pdf/2406.16320.pdf', 'status': 'GOLD'}","1b59fe8d168f6b7c762ade018041ac09f438eeee","- Introduces NOTICE: a mechanistic interpretability pipeline for causally testing multimodal grounding in VLMs.
- Constructs semantic minimal-pair corruptions (SIP/STR) and applies activation patching/causal mediation to BLIP/LLaVA, finding large middle-layer cross‑attention patching effects.
- Relevant because it uses causal interventions (activation patching) on identified attention heads, reports necessity/sufficiency-like effects for image grounding, and warns against noisy corruptions—good match if you prioritize mechanistic, cross‑modal mediation tests."
"13","99.2","Uncovering Grounding IDs: How External Cues Shape Multi-Modal Binding","2025","2025-09-28","Hosein Hasani, Amirmohammad Izadi, Fatemeh Askari, Mobin Bagherian, Sadegh Mohammadian, Mohammad Izadi, M. Baghshah","Large vision-language models (LVLMs) show strong performance across multimodal benchmarks but remain limited in structured reasoning and precise grounding. Recent work has demonstrated that adding simple visual structures, such as partitions and annotations, improves accuracy, yet the internal mechanisms underlying these gains remain unclear. We investigate this phenomenon and propose the concept of Grounding IDs, latent identifiers induced by external cues that bind objects to their designated partitions across modalities. Through representation analysis, we find that these identifiers emerge as robust within-partition alignment in embedding space and reduce the modality gap between image and text. Causal interventions further confirm that these identifiers mediate binding between objects and symbolic cues. We show that Grounding IDs strengthen attention between related components, which in turn improves cross-modal grounding and reduces hallucinations. Taken together, our results identify Grounding IDs as a key symbolic mechanism explaining how external cues enhance multimodal binding, offering both interpretability and practical improvements in robustness.","ArXiv","0","0","10.48550/arXiv.2509.24072","https://doi.org/10.48550/arXiv.2509.24072","","true","{'url': 'https://arxiv.org/pdf/2509.24072.pdf', 'status': 'GOLD'}","0143e7ae95e2104180d674e1e7fc71d84815b297","- Demonstrates a causal role for latent ""Grounding ID"" vectors in multimodal referent binding.
- Uses synthetic LVLM experiments (Qwen2.5-VL + controlled shapes/colors), representation analyses, attention/head tracing, layerwise probes, ablations, and causal interventions to show partition-induced ID vectors align image/text embeddings and mediate binding.
- Relevant because it presents mechanistic internal evidence (identifiable subspace/vectors, attention propagation) plus causal mediation tests for referential grounding and hallucination reduction—but check intervention rigor (specifics of path-restricted patching, sufficiency tests, OOD/paraphrase robustness, and whether interventions selectively flip truth-conditional content rather than global performance)."
"14","98.7","Representational Analysis of Binding in Language Models","2024","2024-09-09","Qin Dai, Benjamin Heinzerling, Kentaro Inui","Entity tracking is essential for complex reasoning. To perform in-context entity tracking, language models (LMs) must bind an entity to its attribute (e.g., bind a container to its content) to recall attribute for a given entity. For example, given a context mentioning “The coffee is in Box Z, the stone is in Box M, the map is in Box H”, to infer “Box Z contains the coffee” later, LMs must bind “Box Z” to “coffee”. To explain the binding behaviour of LMs, existing research introduces a Binding ID mechanism and states that LMs use a abstract concept called Binding ID (BI) to internally mark entity-attribute pairs. However, they have not directly captured the BI information from entity activations. In this work, we provide a novel view of the Binding ID mechanism by localizing the BI information. Specifically, we discover that there exists a low-rank subspace in the hidden state (or activation) of LMs, that primarily encodes BIs. To identify this subspace, we take principle component analysis as our first attempt and it is empirically proven to be effective. Moreover, we also discover that when editing representations along directions in the subspace, LMs tend to bind a given entity to other attributes accordingly. For example, by patching activations along the BI encoding direction we can make the LM to infer “Box Z contains the stone” and “Box Z contains the map”.","","4","3.5","10.18653/v1/2024.emnlp-main.967","https://doi.org/10.18653/v1/2024.emnlp-main.967","","true","{'url': 'https://arxiv.org/pdf/2409.05448.pdf', 'status': 'GOLD'}","252257742dea5e0e32c25c3a1fb4747527f9fee3","- Demonstrates a localized, low-rank subspace encoding Binding/Ordering IDs in LM hidden states.
- Identifies the subspace via dimensionality reduction (PCA/ICA) and causally alters binding behavior by editing/patching principal-component directions in query activations, producing predictable retrieval swaps on synthetic entity‑tracking tasks.
- Relevant limits: uses synthetic datasets, inspects only query activations (not context), infers BI changes from outputs (no direct circuit identification or path-restricted mediation), and tests several ~7–8B pretrained models."
"15","96.0","Language Models Represent Beliefs of Self and Others","2024","2024-02-28","Wentao Zhu, Zhining Zhang, Yizhou Wang","Understanding and attributing mental states, known as Theory of Mind (ToM), emerges as a fundamental capability for human social reasoning. While Large Language Models (LLMs) appear to possess certain ToM abilities, the mechanisms underlying these capabilities remain elusive. In this study, we discover that it is possible to linearly decode the belief status from the perspectives of various agents through neural activations of language models, indicating the existence of internal representations of self and others' beliefs. By manipulating these representations, we observe dramatic changes in the models' ToM performance, underscoring their pivotal role in the social reasoning process. Additionally, our findings extend to diverse social reasoning tasks that involve different causal inference patterns, suggesting the potential generalizability of these representations.","ArXiv","13","7.7","10.48550/arXiv.2402.18496","https://doi.org/10.48550/arXiv.2402.18496","","true","{'url': 'https://arxiv.org/pdf/2402.18496.pdf', 'status': 'GOLD'}","7e388155314475226bd001b84d8a9a69f35021a7","- Demonstrates a linear, causally effective internal belief representation in an LLM.
- Trains linear probes on attention‑head activations in Mistral‑7B‑Instruct, identifies consistent belief directions, and manipulates those vectors to strongly change ToM task outputs.
- Evidence includes gradient linking to input tokens and cross‑task generalization, but limited to one model family, attention‑space probes, and social‑reasoning tasks (necessity/sufficiency shown via vector steering, not full path‑restricted circuit decomposition)."
"16","96.0","Representational Analysis of Binding in Large Language Models","2024","","Qin Dai, Benjamin Heinzerling, Kentaro Inui","Entity tracking is essential for complex reasoning. To perform in-context entity tracking, language models (LMs) must bind an entity to its attribute (e.g., bind a container to its content) to recall attribute for a given entity. For example, given a context mentioning “The coffee is in Box Z, the stone is in Box M, the map is in Box H”, to infer “Box Z contains the coffee” later, LMs must bind “Box Z” to “coffee”. To explain the binding behaviour of LMs, Feng and Steinhardt (2023) introduce a Binding ID mechanism and state that LMs use a abstract concept called Binding ID (BI) to internally mark entity-attribute pairs. However, they have not directly captured the BI determinant information from entity activations. In this work, we provide a novel view of the Binding ID mechanism by localizing the prototype of BI information. Specifically, we discover that there exists a low-rank subspace in the hidden state (or activation) of LMs, that primarily encodes the order of entity and attribute and which is used as the prototype of BI to causally determine the binding. To identify this sub-space, we choose principle component analysis as our first attempt and it is empirically proven to be effective. Moreover, we also discover that when editing representations along directions in the subspace, LMs tend to bind a given entity to other attributes accordingly. For example, by patching activations along the BI encoding direction we can make the LM to infer “Box Z contains the stone” and “Box Z contains the map”.","ArXiv","0","0","10.48550/arXiv.2409.05448","https://doi.org/10.48550/arXiv.2409.05448","","false","","1414f7853fed62da9b8ec010c62011ea032e54a9","- Demonstrates a low-rank hidden‑state subspace (Binding ID prototype) that encodes entity–attribute binding.
- Identifies this subspace via PCA on activations and links it causally to binding behavior as the BI prototype.
- Focuses on representational localization (low‑rank subspace) for entity tracking; check whether they run causal interventions (patching/ablation/interchange) and robustness/paraphrase controls—if absent, relevance is limited to correlational localization rather than full necessity/sufficiency evidence."
"17","94.2","TruthX: Alleviating Hallucinations by Editing Large Language Models in Truthful Space","2024","2024-02-27","Shaolei Zhang, Tian Yu, Yang Feng","Large Language Models (LLMs) sometimes suffer from producing hallucinations, especially LLMs may generate untruthful responses despite knowing the correct knowledge. Activating the truthfulness within LLM is the key to fully unlocking LLM's knowledge potential. In this paper, we propose TruthX, an inference-time intervention method to activate the truthfulness of LLM by identifying and editing the features within LLM's internal representations that govern the truthfulness. TruthX employs an auto-encoder to map LLM's representations into semantic and truthful latent spaces respectively, and applies contrastive learning to identify a truthful editing direction within the truthful space. During inference, by editing LLM's internal representations in truthful space, TruthX effectively enhances the truthfulness of LLM. Experiments show that TruthX improves the truthfulness of 13 advanced LLMs by an average of 20% on TruthfulQA benchmark. Further analyses suggest that TruthX can control LLM to produce truthful or hallucinatory responses via editing only one vector in LLM's internal representations.","","72","42.8","10.48550/arXiv.2402.17811","https://doi.org/10.48550/arXiv.2402.17811","","true","{'url': 'https://arxiv.org/pdf/2402.17811.pdf', 'status': 'GOLD'}","c19ea4c61ad94644f7e315d4bb547f6c610fc93d","- Demonstrates an inference-time intervention that edits internal activations to increase LLM truthfulness.
- Trains an autoencoder to split model representations into semantic vs “truthful” latent spaces, finds a single truthful editing direction via contrastive learning, and shifts activations at inference to boost TruthfulQA performance (~+20% across 13 LLMs).
- Relevant caveats: evidence is interventional (activation editing) showing necessity/sufficiency of one direction for output truthfulness, but paper may not provide full causal-path decomposition, rigorous path-restricted patching, or grounding tests across modalities/agentic settings — check whether controls for probe-hacking, counterfactual minimal pairs, and cross-context robustness are reported."
"18","91.1","Adaptive Activation Steering: A Tuning-Free LLM Truthfulness Improvement Method for Diverse Hallucinations Categories","2024","2024-05-26","Tianlong Wang, Xianfeng Jiao, Yifan He, Zhongzhi Chen, Yinghao Zhu, Xu Chu, Junyi Gao, Yasha Wang, Liantao Ma","Recent studies have indicated that Large Language Models (LLMs) harbor an inherent understanding of truthfulness, yet often fail to consistently express it and generate false statements. This gap between ''knowing'' and ''telling'' poses a challenge for ensuring the truthfulness of generated content. Inspired by recent work on the practice of encoding human-interpretable concepts linearly within large language models, we treat truthfulness as a specially linearly encoded concept within LLMs, and introduce Adaptive Activation Steering (ACT), a tuning-free method that adaptively shifts LLM's activations in the ''truthful'' direction during inference. ACT addresses diverse categories of hallucinations by utilizing diverse truthfulness-related steering vectors and adjusting the steering intensity adaptively. Applied as an add-on across various models, ACT significantly improves truthfulness in LLaMA (↑142%), LLaMA2 (↑24%), Alpaca (↑36%), Vicuna (↑28%), LLaMA2-Chat (↑19%), and LLaMA3(↑34%). Furthermore, we verify ACT's scalability across larger models (13B, 33B, 65B), underscoring the adaptability of ACT to large-scale language models. Our code is available at https://github.com/tianlwang/ACT.","Proceedings of the ACM on Web Conference 2025","43","29.9","10.1145/3696410.3714640","https://doi.org/10.1145/3696410.3714640","","true","{'url': 'https://arxiv.org/pdf/2406.00034', 'status': 'GOLD'}","db37dd57fbf61ea0377011acbc2bf53f7134d330","- Demonstrates a tuning-free method (Adaptive Activation Steering, ACT) to steer LLM activations toward “truthful” outputs.
- Trains linear probes on last-token head activations to locate truthfulness directions, constructs diverse steering vectors, and adds them adaptively at inference to improve truthfulness across LLaMA-family models and sizes.
- Relevant caveats: evidence is decodability+steering at head‑activation level (inference-time add-on) showing behavioral gains; but paper tests linear directional interventions (sufficiency) without detailed path‑restricted mediation, minimal path/ablation analyses, or thorough counterfactual grounding across modalities/agentic settings."
"19","86.8","Implicit Representations of Meaning in Neural Language Models","2021","2021-06-01","Belinda Z. Li, Maxwell Nye, Jacob Andreas","Does the effectiveness of neural language models derive entirely from accurate modeling of surface word co-occurrence statistics, or do these models represent and reason about the world they describe? In BART and T5 transformer language models, we identify contextual word representations that function as *models of entities and situations* as they evolve throughout a discourse. These neural representations have functional similarities to linguistic models of dynamic semantics: they support a linear readout of each entity’s current properties and relations, and can be manipulated with predictable effects on language generation. Our results indicate that prediction in pretrained neural language models is supported, at least in part, by dynamic representations of meaning and implicit simulation of entity state, and that this behavior can be learned with only text as training data.","","190","43","10.18653/v1/2021.acl-long.143","https://doi.org/10.18653/v1/2021.acl-long.143","","true","{'url': 'https://arxiv.org/pdf/2106.00737.pdf', 'status': 'GOLD'}","ac879df2cc36f3f824fa24149517622b6bc7bd09","- Demonstrates that pretrained transformers encode dynamic, truth‑conditional entity/state representations.
- Probes BART and T5 with linear decoders on synthetic/text‑game domains, edits internal representations, and shows predictable downstream generation changes.
- Uses probing plus representation editing (no extensive causal path‑patching); evidence for localized, manipulable proposition encodings but limited causal mediation tests and mostly text‑only grounding."
"20","81.1","Monitoring Latent World States in Language Models with Propositional Probes","2024","2024-06-27","Jiahai Feng, Stuart Russell, Jacob Steinhardt","Language models are susceptible to bias, sycophancy, backdoors, and other tendencies that lead to unfaithful responses to the input context. Interpreting internal states of language models could help monitor and correct unfaithful behavior. We hypothesize that language models represent their input contexts in a latent world model, and seek to extract this latent world state from the activations. We do so with 'propositional probes', which compositionally probe tokens for lexical information and bind them into logical propositions representing the world state. For example, given the input context ''Greg is a nurse. Laura is a physicist.'', we decode the propositions ''WorksAs(Greg, nurse)'' and ''WorksAs(Laura, physicist)'' from the model's activations. Key to this is identifying a 'binding subspace' in which bound tokens have high similarity (''Greg'' and ''nurse'') but unbound ones do not (''Greg'' and ''physicist''). We validate propositional probes in a closed-world setting with finitely many predicates and properties. Despite being trained on simple templated contexts, propositional probes generalize to contexts rewritten as short stories and translated to Spanish. Moreover, we find that in three settings where language models respond unfaithfully to the input context -- prompt injections, backdoor attacks, and gender bias -- the decoded propositions remain faithful. This suggests that language models often encode a faithful world model but decode it unfaithfully, which motivates the search for better interpretability tools for monitoring LMs.","ArXiv","16","11.9","10.48550/arXiv.2406.19501","https://doi.org/10.48550/arXiv.2406.19501","","true","{'url': 'https://arxiv.org/pdf/2406.19501.pdf', 'status': 'GOLD'}","dfb6aebb9c8f69c8889c5c627af9dd6edff19a88","- Demonstrates a compositional method to decode propositional/world-state content from LM activations.
- Uses ""propositional probes"": extract lexical token vectors, identify a binding subspace, and bind tokens into predicate–argument propositions; validated in closed-world templates, stories, and translations.
- Relevant: provides internal representational evidence for latent propositional content and monitoring, but lacks reported causal-intervention tests (necessity/sufficiency, patching, ablations) tying decoded probes to model behavior."
"21","75.1","Brittle Minds, Fixable Activations: Understanding Belief Representations in Language Models","2024","2024-06-25","Matteo Bortoletto, Constantin Ruhdorfer, Lei Shi, Andreas Bulling","Despite growing interest in Theory of Mind (ToM) tasks for evaluating language models (LMs), little is known about how LMs internally represent mental states of self and others. Understanding these internal mechanisms is critical - not only to move beyond surface-level performance, but also for model alignment and safety, where subtle misattributions of mental states may go undetected in generated outputs. In this work, we present the first systematic investigation of belief representations in LMs by probing models across different scales, training regimens, and prompts - using control tasks to rule out confounds. Our experiments provide evidence that both model size and fine-tuning substantially improve LMs' internal representations of others' beliefs, which are structured - not mere by-products of spurious correlations - yet brittle to prompt variations. Crucially, we show that these representations can be strengthened: targeted edits to model activations can correct wrong ToM inferences.","ArXiv","3","2.2","","https://arxiv.org/abs/2406.17513","","true","{'url': 'https://arxiv.org/pdf/2406.17513.pdf', 'status': 'GOLD'}","d6bd903ccfa66a08c73a8c01d54d4d133246d6fe","- Analyzes internal belief (Theory‑of‑Mind) representations in LMs.
- Trains layerwise linear probes on residual-stream activations across models/scales, uses control tasks/PC tests, and applies targeted activation edits (CAA) to steer ToM outputs.
- Relevant: provides evidence of structured, low‑dimensional, causally manipulable belief features, but relies mostly on linear probing + activation editing (not path‑restricted patching or full mediation/path analyses); brittleness to prompts and focus on residual‑stream implies partial mechanistic evidence rather than complete necessity/sufficiency proofs for truth‑conditional intentionality."
